 
****************************************
Report : area
Design : network_4x4_DATA_WIDTH32_DATA_WIDTH_LV11
Version: M-2016.12
Date   : Fri Nov 17 14:18:14 2017
****************************************

Library(s) Used:

    c18_CORELIB_TYP (File: /cad/dk/s/v4.11/c18_1.8V/c18_CORELIB_TYP.db)

Number of ports:                        36131
Number of nets:                        106833
Number of cells:                        65912
Number of combinational cells:          51800
Number of sequential cells:             13680
Number of macros/black boxes:               0
Number of buf/inv:                      11322
Number of references:                      17

Combinational area:             778866.686357
Buf/Inv area:                    68877.851871
Noncombinational area:          906103.292847
Macro/Black Box area:                0.000000
Net Interconnect area:          964318.998975

Total cell area:               1684969.979204
Total area:                    2649288.978179

Hierarchical area distribution
------------------------------

                                  Global cell area               Local cell area
                                  ---------------------  -------------------------------- 
Hierarchical cell                 Absolute      Percent  Combi-       Noncombi-    Black-
                                  Total         Total    national     national     boxes   Design
R_14/XBAR_L                          2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_5
R_14/XBAR_N                          2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_9
R_14/XBAR_S                          2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_6
R_14/XBAR_W                          2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_7
R_14/allocator_unit                  9268.7617      0.6    1140.2496     649.1520  0.0000  allocator_1
R_14/allocator_unit/arb_E_X           793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_8
R_14/allocator_unit/arb_L_X           793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_5
R_14/allocator_unit/arb_N_X           793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_9
R_14/allocator_unit/arb_S_X           793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_6
R_14/allocator_unit/arb_W_X           793.0944      0.0     598.3488     194.7456  0.0000  arbiter_in_7
R_14/allocator_unit/arb_X_E           702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_8
R_14/allocator_unit/arb_X_L           702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_5
R_14/allocator_unit/arb_X_N           702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_9
R_14/allocator_unit/arb_X_S           702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_6
R_14/allocator_unit/arb_X_W           702.7776      0.0     508.0320     194.7456  0.0000  arbiter_out_7
R_15                               101928.1536      6.0      28.2240       0.0000  0.0000  router_credit_based_DATA_WIDTH32_current_address15_NoC_size4
R_15/FIFO_E                         13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_3
R_15/FIFO_L                         13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_0
R_15/FIFO_N                         13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_4
R_15/FIFO_S                         13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_1
R_15/FIFO_W                         13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_2
R_15/LBDR_E                          2616.3649      0.2    1083.8016    1532.5632  0.0000  LBDR_cur_addr_rst15_NoC_size4_3
R_15/LBDR_L                          2616.3649      0.2    1083.8016    1532.5632  0.0000  LBDR_cur_addr_rst15_NoC_size4_0
R_15/LBDR_N                          2616.3649      0.2    1083.8016    1532.5632  0.0000  LBDR_cur_addr_rst15_NoC_size4_4
R_15/LBDR_S                          2616.3649      0.2    1083.8016    1532.5632  0.0000  LBDR_cur_addr_rst15_NoC_size4_1
R_15/LBDR_W                          2616.3649      0.2    1083.8016    1532.5632  0.0000  LBDR_cur_addr_rst15_NoC_size4_2
R_15/XBAR_E                          2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_3
R_15/XBAR_L                          2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_0
R_15/XBAR_N                          2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_4
R_15/XBAR_S                          2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_1
R_15/XBAR_W                          2209.9392      0.1    2209.9392       0.0000  0.0000  XBAR_DATA_WIDTH32_2
